Cód.,2013,2014,2015,2016,2017,2018,2019,2020,2021,Município
1100015,25728,25652,25578,25506,25437,23167,22945,22728,22516,Alta Floresta D'Oeste (RO)
1100023,101269,102860,104401,105896,107345,106168,107863,109523,111148,Ariquemes (RO)
1100031,6495,6424,6355,6289,6224,5438,5312,5188,5067,Cabixi (RO)
1100049,85863,86556,87226,87877,88507,84813,85359,85893,86416,Cacoal (RO)
1100056,18041,18013,17986,17959,17934,16444,16323,16204,16088,Cerejeiras (RO)
1100064,19190,19001,18817,18639,18467,16227,15882,15544,15213,Colorado do Oeste (RO)
1100072,9036,8938,8842,8749,8659,7567,7391,7220,7052,Corumbiara (RO)
1100080,15853,16258,16651,17031,17400,17855,18331,18798,19255,Costa Marques (RO)
1100098,31699,32047,32385,32712,33030,32047,32374,32695,33009,Espigão D'Oeste (RO)
1100106,45761,46203,46632,47048,47451,45783,46174,46556,46930,Guajará-Mirim (RO)
1100114,55597,55669,55738,55806,55871,51933,51775,51620,51469,Jaru (RO)
1100122,128026,129242,130419,131560,132667,127907,128969,130009,131026,Ji-Paraná (RO)
1100130,35633,36412,37167,37899,38609,39097,39991,40867,41724,Machadinho D'Oeste (RO)
1100148,21427,21511,21592,21670,21747,20459,20474,20489,20504,Nova Brasilândia D'Oeste (RO)
1100155,40099,40010,39924,39840,39759,36340,36035,35737,35445,Ouro Preto do Oeste (RO)
1100189,36939,37230,37512,37786,38051,36434,36660,36881,37098,Pimenta Bueno (RO)
1100205,484992,494013,502748,511219,519436,519531,529544,539354,548952,Porto Velho (RO)
1100254,23017,22783,22557,22337,22124,19409,18986,18571,18165,Presidente Médici (RO)
1100262,3666,3709,3750,3790,3829,3723,3764,3804,3843,Rio Crespo (RO)
1100288,55357,55807,56242,56664,57074,54702,55058,55407,55748,Rolim de Moura (RO)
1100296,8887,8706,8532,8362,8198,6781,6495,6216,5942,Santa Luzia D'Oeste (RO)
1100304,87727,89797,91801,93745,95630,97448,99854,102211,104517,Vilhena (RO)
1100320,23668,23803,23933,24059,24181,22931,23005,23077,23147,São Miguel do Guaporé (RO)
1100338,26227,26925,27600,28255,28891,29757,30583,31392,32184,Nova Mamoré (RO)
1100346,17399,17228,17063,16902,16747,14722,14411,14106,13807,Alvorada D'Oeste (RO)
1100379,13827,13884,13940,13993,14045,13227,13241,13255,13268,Alto Alegre dos Parecis (RO)
1100403,19459,19841,20210,20569,20916,20999,21428,21847,22258,Alto Paraíso (RO)
1100452,36555,37207,37838,38450,39044,38937,39654,40356,41043,Buritis (RO)
1100502,10515,10393,10276,10161,10051,8751,8538,8329,8125,Novo Horizonte do Oeste (RO)
1100601,6268,6318,6367,6414,6460,6190,6230,6269,6307,Cacaulândia (RO)
1100700,13939,14081,14220,14354,14484,14009,14139,14266,14391,Campo Novo de Rondônia (RO)
1100809,22973,23573,24155,24719,25266,25983,26693,27388,28068,Candeias do Jamari (RO)
1100908,3689,3653,3617,3583,3550,3119,3052,2987,2923,Castanheiras (RO)
1100924,9636,9887,10129,10364,10593,10886,11182,11472,11755,Chupinguaia (RO)
1100940,19410,20204,20974,21720,22443,24226,25215,26183,27131,Cujubim (RO)
1101005,10534,10327,10127,9933,9745,8095,7767,7445,7130,Governador Jorge Teixeira (RO)
1101104,9661,9831,9995,10155,10310,10272,10458,10641,10819,Itapuã do Oeste (RO)
1101203,10899,10860,10823,10786,10751,9762,9660,9559,9461,Ministro Andreazza (RO)
1101302,12469,12414,12360,12308,12258,11080,10947,10818,10691,Mirante da Serra (RO)
1101401,15541,15710,15873,16032,16186,15695,15852,16007,16158,Monte Negro (RO)
1101435,7883,7853,7824,7796,7769,7047,6970,6895,6822,Nova União (RO)
1101450,5477,5589,5697,5802,5904,5947,6074,6198,6319,Parecis (RO)
1101468,2440,2432,2424,2417,2410,2191,2169,2148,2127,Pimenteiras do Oeste (RO)
1101476,3597,3548,3501,3456,3411,2939,2856,2776,2697,Primavera de Rondônia (RO)
1101484,6219,6160,6103,6048,5994,5280,5172,5066,4962,São Felipe D'Oeste (RO)
1101492,18265,18640,19002,19353,19694,19842,20266,20681,21088,São Francisco do Guaporé (RO)
1101500,12505,12543,12581,12617,12653,11860,11856,11851,11846,Seringueiras (RO)
1101559,5080,5041,5003,4966,4931,4384,4308,4233,4160,Teixeirópolis (RO)
1101609,11343,11345,11347,11348,11350,10494,10444,10395,10348,Theobroma (RO)
1101708,13491,13391,13293,13198,13106,11665,11467,11272,11081,Urupá (RO)
1101757,10518,10682,10843,10999,11149,11028,11204,11377,11545,Vale do Anari (RO)
1101807,8425,8327,8231,8138,8047,6998,6825,6656,6490,Vale do Paraíso (RO)
1200013,13353,13613,13869,14120,14366,15020,15256,15490,15721,Acrelândia (AC)
1200054,6480,6610,6738,6863,6986,7300,7417,7534,7649,Assis Brasil (AC)
1200104,22899,23378,23849,24311,24765,25848,26278,26702,27123,Brasiléia (AC)
